Table S1.1 Energy levels for the 16O16O X^3\Sigma state v = 0 - 39
     (relative to 16O16O X^3\Sigma state v = 0, N = 1, J = 0)     
==================================================================
    v    N    J    K  Energy(cm-1)    Unc.(cm-1)    Degeneracy
    1   29   28    0   2789.082075      0.000114            57
    1   29   29    0   2790.838761      0.000114            59
    1   29   30    0   2788.603470      0.000114            61
    1   31   30    0   2961.467600      0.000129            61
    1   31   31    0   2963.206903      0.000129            63
    1   31   32    0   2960.953799      0.000129            65
    1   33   32    0   3144.997291      0.000145            65
    1   33   33    0   3146.719309      0.000145            67
    1   33   34    0   3144.448438      0.000145            69
    1   35   34    0   3339.640967      0.000163            69
    1   35   35    0   3341.345780      0.000162            71
    1   35   36    0   3339.057178      0.000162            73
    1   37   36    0   3545.366586      0.000182            73
    1   37   37    0   3547.054263      0.000182            75
    1   37   38    0   3544.747954      0.000182            77
    1   39   38    0   3762.140246      0.000206            77
    1   39   39    0   3763.810847      0.000206            79
    1   39   40    0   3761.486849      0.000206            81
    1   41   40    0   3989.926188      0.000235            81
    1   41   41    0   3991.579766      0.000235            83
    1   41   42    0   3989.238090      0.000235            85
    1   43   42    0   4228.686798      0.000273            85
    1   43   43    0   4230.323397      0.000273            87
    1   43   44    0   4227.964048      0.000273            89
    1   45   44    0   4478.382602      0.000324            89
    1   45   45    0   4480.002264      0.000324            91
    1   45   46    0   4477.625242      0.000324            93
    1   47   46    0   4738.972273      0.000394            93
    1   47   47    0   4740.575033      0.000394            95
    1   47   48    0   4738.180336      0.000394            97
    1   49   48    0   5010.412627      0.000490            97
    1   49   49    0   5011.998518      0.000490            99
    1   49   50    0   5009.586139      0.000490           101
    1   51   50    0   5292.658626      0.000618           101
    1   51   51    0   5294.227678      0.000618           103
    1   51   52    0   5291.797606      0.000618           105
    1   53   52    0   5585.663379      0.000786           105
    1   53   53    0   5587.215618      0.000786           107
    1   53   54    0   5584.767842      0.000786           109
    1   55   54    0   5889.378139      0.001003           109
    1   55   55    0   5890.913589      0.001003           111
    1   55   56    0   5888.448094      0.001003           113
    1   57   56    0   6203.752307      0.001277           113
    1   57   57    0   6205.270992      0.001277           115
    1   57   58    0   6202.787760      0.001277           117
    1   59   58    0   6528.733433      0.001621           117
    1   59   59    0   6530.235372      0.001621           119
    1   59   60    0   6527.734385      0.001621           121
    1   61   60    0   6864.267212      0.002044           121
    1   61   61    0   6865.752425      0.002044           123
    1   61   62    0   6863.233662      0.002044           125
    1   63   62    0   7210.297490      0.002560           125
    1   63   63    0   7211.765994      0.002560           127
    1   63   64    0   7209.229433      0.002560           129
    1   65   64    0   7566.766259      0.003184           129
    1   65   65    0   7568.218072      0.003184           131
    2    1    0    0   3089.181252      0.000271             1
    2    1    1    0   3093.162055      0.000271             3
    2    1    2    0   3091.268285      0.000271             5
    2    3    2    0   3105.135533      0.000267             5
    2    3    3    0   3107.222589      0.000267             7
    2    3    4    0   3105.259115      0.000267             9
    2    5    4    0   3130.511705      0.000260             9
    2    5    5    0   3132.529111      0.000260            11
    2    5    6    0   3130.528576      0.000260            13
    2    7    6    0   3167.097010      0.000250            13
    2    7    7    0   3169.077439      0.000250            15
    2    7    8    0   3167.049305      0.000250            17
    2    9    8    0   3214.908587      0.000239            17
    2    9    9    0   3216.861533      0.000239            19
    2    9   10    0   3214.809829      0.000239            21
    2   11   10    0   3273.943971      0.000228            21
    2   11   11    0   3275.873493      0.000228            23
    2   11   12    0   3273.800304      0.000228            25
    2   13   12    0   3344.195351      0.000218            25
    2   13   13    0   3346.103564      0.000218            27
    2   13   14    0   3344.010101      0.000218            29
    2   15   14    0   3425.651982      0.000210            29
    2   15   15    0   3427.540129      0.000211            31
    2   15   16    0   3425.427157      0.000210            33
    2   17   16    0   3518.300841      0.000207            33
    2   17   17    0   3520.169717      0.000207            35
    2   17   18    0   3518.037745      0.000207            37
    2   19   18    0   3622.126849      0.000209            37
    2   19   19    0   3623.976995      0.000209            39
    2   19   20    0   3621.826378      0.000209            41
    2   21   20    0   3737.112975      0.000217            41
    2   21   21    0   3738.944776      0.000218            43
    2   21   22    0   3736.775769      0.000217            45
    2   23   22    0   3863.240273      0.000232            45
    2   23   23    0   3865.054015      0.000232            47
    2   23   24    0   3862.866804      0.000232            49
    2   25   24    0   4000.487908      0.000253            49
    2   25   25    0   4002.283809      0.000253            51
    2   25   26    0   4000.078534      0.000253            53
    2   27   26    0   4148.833169      0.000281            53
    2   27   27    0   4150.611400      0.000281            55
    2   27   28    0   4148.388166      0.000281            57
    2   29   28    0   4308.251475      0.000315            57
    2   29   29    0   4310.012173      0.000315            59
    2   29   30    0   4307.771059      0.000315            61
    2   31   30    0   4478.716380      0.000357            61
    2   31   31    0   4480.459656      0.000357            63
    2   31   32    0   4478.200725      0.000357            65
    2   33   32    0   4660.199578      0.000408            65
    2   33   33    0   4661.925525      0.000408            67
    2   33   34    0   4659.648823      0.000408            69
    2   35   34    0   4852.670903      0.000468            69
    2   35   35    0   4854.379599      0.000468            71
    2   35   36    0   4852.085159      0.000468            73
    2   37   36    0   5056.098332      0.000540            73
    2   37   37    0   5057.789842      0.000540            75
    2   37   38    0   5055.477689      0.000540            77
    2   39   38    0   5270.447984      0.000624            77
    2   39   39    0   5272.122366      0.000624            79
    2   39   40    0   5269.792518      0.000624            81
    2   41   40    0   5495.684125      0.000724            81
    2   41   41    0   5497.341428      0.000724            83
    2   41   42    0   5494.993896      0.000724            85
